Date	AVG_daily_precip	Count
2/7/14	0.0	3
3/8/15	0.0	2
9/29/15	0.10666666666666667	3
1/22/16	0.01	2
6/23/14	0.0	3
8/20/14	0.0	3
8/21/14	0.6	3
10/14/14	0.0	3
11/5/14	0.0	3
11/27/14	0.016666666666666666	3
12/26/14	0.0	3
2/20/16	0.0	3
4/19/16	0.0	3
11/10/16	0.0	3
11/12/16	0.0	3
4/11/14	0.0	1
10/29/13	0.0	3
12/10/13	0.24333333333333332	3
2/28/15	0.0	3
3/25/15	0.07333333333333333	3
10/5/15	0.0	3
12/31/15	0.04	3
11/5/13	0.0	3
7/5/14	0.0	3
7/15/14	1.0866666666666667	3
3/22/15	0.0	3
4/9/15	0.005	2
10/4/15	0.0	3
10/22/15	0.0	3
4/23/16	0.14	3
9/17/16	0.0	3
11/18/16	0.0	3
1/9/16	0.02	1
5/7/14	0.0	3
8/17/14	0.01	2
2/19/15	0.0	3
11/14/15	0.0	3
11/26/15	0.0	3
5/9/16	0.0	3
8/28/14	0.0	2
8/16/15	0.0	1
3/9/14	0.0	2
5/5/15	0.0	3
2/5/16	0.5466666666666667	3
7/29/16	0.92	3
8/18/16	0.02	3
10/19/16	0.0	3
9/24/13	0.0	3
10/15/13	0.0	3
12/8/13	0.05333333333333334	3
1/27/14	0.0	3
3/23/14	0.0	3
4/20/14	0.0	3
7/9/14	0.03333333333333333	3
10/27/14	0.0	3
7/18/15	0.17333333333333334	3
11/25/15	0.0	3
2/6/16	0.0	3
4/14/16	0.0	3
11/2/16	0.0	3
9/11/13	0.0	3
1/12/14	0.035	2
2/28/14	0.0	3
5/23/14	0.7666666666666666	3
6/9/15	0.01	2
1/3/16	0.0	3
1/26/14	0.0	1
2/13/14	1.5766666666666669	3
9/15/14	0.0	3
11/17/14	1.4666666666666668	3
2/14/15	0.02666666666666667	3
8/1/15	0.0	3
6/7/16	0.005	2
7/9/16	0.39666666666666667	3
8/15/16	0.0	3
8/6/13	0.0	3
10/28/14	0.0	3
12/15/16	0.0	2
3/20/14	0.0	1
11/1/15	0.0	2
3/18/16	0.0	2
1/29/14	0.04666666666666667	3
5/13/15	0.0	3
1/7/14	0.0	3
2/26/14	0.023333333333333334	3
10/23/14	0.3499999999999999	3
3/26/15	0.27	3
5/5/16	0.0	3
5/18/16	0.02	1
10/26/13	0.0	2
9/14/14	0.0	3
4/27/15	0.0	3
9/13/15	0.043333333333333335	3
10/11/15	0.0	3
11/18/15	0.0	3
5/22/16	0.08666666666666667	3
11/5/16	0.0	3
12/7/16	0.07333333333333333	3
10/11/13	0.02	1
6/17/15	0.0	1
7/13/14	0.11	3
12/1/14	0.07	3
8/21/15	1.04	3
1/8/16	0.0	3
5/24/16	0.26666666666666666	3
10/18/16	0.0	3
2/9/16	0.0	1
8/13/13	0.7766666666666667	3
9/23/14	0.0	3
1/6/16	0.0	3
3/2/16	0.1566666666666667	3
8/23/14	0.01	1
12/10/15	0.0	1
12/19/13	0.0	3
3/29/14	2.066666666666667	3
4/26/14	0.7966666666666667	3
2/16/15	0.0	3
11/3/15	0.0	3
3/5/16	0.0	3
5/26/16	0.0	3
9/27/16	0.18333333333333335	3
12/3/13	0.0	3
1/24/14	0.0	3
1/25/14	0.03333333333333333	3
2/20/14	0.023333333333333334	3
5/26/14	0.0	3
3/16/15	0.0	3
4/3/15	0.06333333333333334	3
4/2/16	0.18666666666666668	3
10/3/16	0.0	2
1/26/16	0.0	1
2/11/14	0.0	3
6/15/14	0.0	3
8/6/14	0.0	2
8/26/15	0.0	3
8/12/16	0.20333333333333337	3
9/11/15	0.015	2
10/18/13	0.0	2
3/27/14	0.0	3
11/30/15	0.0	3
1/1/16	0.0	3
2/2/16	0.0	3
4/6/16	0.0	3
7/6/16	0.0	3
3/2/15	0.0	1
4/8/15	0.005	2
5/28/16	0.0	2
8/10/14	0.0	3
10/1/15	0.08666666666666667	3
12/4/14	0.0	3
9/15/15	0.0	3
2/13/16	0.0	3
3/27/16	0.0	2
8/17/16	0.01	2
12/11/14	0.02	2
12/25/14	0.07333333333333333	3
8/4/15	0.24666666666666667	3
8/8/15	0.0	3
4/27/16	0.0	3
7/28/14	0.32	3
9/12/14	0.0	3
11/23/14	0.0	3
12/24/15	0.013333333333333334	3
6/17/16	0.0	3
11/15/16	1.55	3
11/19/16	0.16666666666666666	3
2/27/14	0.0	1
12/28/13	0.0	3
1/14/14	0.4366666666666667	3
7/31/14	0.0	3
4/4/16	0.43	3
9/8/16	0.0	3
10/1/14	0.02	1
8/31/13	0.0	3
3/24/14	0.0	3
6/2/16	0.0	3
8/5/16	0.0	3
3/19/14	0.8766666666666666	3
4/14/14	0.0	3
11/10/14	0.0	3
10/7/15	0.0	3
5/19/16	0.0	2
1/8/14	0.0	3
12/14/14	0.0	3
1/14/15	0.0	3
4/1/15	0.0	3
9/4/15	0.0	3
4/23/15	0.0	1
10/17/16	0.0	1
7/7/15	0.06	2
2/28/16	0.0	3
11/26/16	0.0	3
9/15/13	0.0	3
8/5/15	0.0	3
8/23/15	0.0	3
3/29/16	0.0	3
5/25/16	0.0	3
6/3/16	0.02333333333333333	3
11/7/13	0.11333333333333334	3
6/11/14	0.035	2
12/28/15	0.043333333333333335	3
9/16/13	0.023333333333333334	3
11/1/13	0.08333333333333333	3
4/7/14	0.5100000000000001	3
7/25/16	1.42	3
5/19/14	0.0	2
11/23/13	0.02	1
12/16/13	0.0	3
12/27/13	0.0	3
1/3/14	0.25333333333333335	3
3/7/14	0.0	2
10/30/14	0.0	3
11/24/14	0.5866666666666667	3
3/3/15	0.6966666666666667	3
9/7/14	0.0	1
12/14/16	0.0	2
8/25/13	0.0	3
1/23/15	0.0	2
10/27/15	0.0	3
12/22/15	0.18666666666666668	3
12/23/15	1.3866666666666667	3
4/12/14	0.0	3
6/12/14	0.03333333333333333	3
8/24/14	0.0	3
3/14/15	0.9800000000000001	3
8/30/16	0.0	3
5/7/16	0.0	1
12/19/14	0.0	3
1/13/16	0.0	3
6/25/15	0.0	1
6/7/14	0.0	3
11/8/14	0.0	3
