Pickup_year	Dropoff_Year	Date_delta	Count
2014	2014	-9	4
2014	2014	-39	1
2014	2014	-19	1
2014	2014	10	2
2016	2016	-7	33
2016	2016	19	1
2016	2016	-92	1
2014	2014	-84	1
2016	2016	82	1
2015	2015	21	9
2016	2016	-50	1
2014	2014	-21	3
2016	2016	-49	2
2016	2016	100	1
2016	2016	24	1
2016	2016	54	2
2015	2015	68	1
2015	2015	229	15
2015	2015	90	1
2015	2015	-2	7
2014	2014	-87	1
2016	2016	-8	2
2016	2016	119	1
2016	2016	-42	1
2016	2016	-40	1
2016	2016	85	1
2015	2015	19	53
2016	2016	41	2
2015	2015	16	2
2014	2014	-37	2
2015	2016	339	1
2015	2015	-22	1
2015	2015	2	24
2015	2015	77	25
2014	2014	-33	1
