Pickup_year	Dropoff_Year	Date_delta	Count
2015	2016	1	1127
2013	2013	0	1199865
2014	2014	1	187230
2015	2015	0	18975918
2014	2014	3	1
2016	2016	-3	1
2016	2016	1	280539
2013	2014	1	284
2016	2017	1	725
2016	2016	3	1
2015	2021	2191	2
2016	2016	-1	1
2013	2013	1	10662
2016	2017	2	1
2014	2014	2	1
2016	2016	0	16104264
2015	2015	1	256710
2014	2014	0	15649108
2014	2015	1	661
2015	2015	2	8
