Date	max_daily_precip	Count
1/22/16	T	3
2/7/14	0	3
3/8/15	T	3
9/29/15	0.13	3
10/14/14	0	3
11/10/16	0	3
11/12/16	0	3
11/27/14	0.02	3
11/5/14	0	3
12/26/14	0	3
2/20/16	0	3
4/11/14	T	3
4/19/16	0	3
6/23/14	0	3
8/1/16	T	3
8/20/14	0	3
8/21/14	1.24	3
10/29/13	0	3
10/5/15	0	3
12/10/13	0.28	3
12/31/15	0.06	3
2/28/15	0	3
3/25/15	0.12	3
1/9/16	T	3
10/22/15	0	3
10/4/15	0	3
11/18/16	0	3
11/5/13	0	3
3/22/15	0	3
4/23/16	0.16	3
4/9/15	T	3
7/15/14	1.3	3
7/5/14	0	3
8/18/13	T	3
9/17/16	0	3
11/14/15	0	3
11/26/15	0	3
2/19/15	0	3
2/2/14	T	3
5/7/14	0	3
5/9/16	0	3
8/16/15	T	3
8/17/14	T	3
8/28/14	T	3
10/19/16	0	3
2/5/16	0.76	3
3/9/14	T	3
5/5/15	0	3
7/29/16	1.09	3
8/18/16	0.03	3
1/27/14	0	3
10/15/13	0	3
10/27/14	0	3
11/2/16	0	3
11/25/15	0	3
12/8/13	0.08	3
2/6/16	0	3
3/23/14	0	3
4/14/16	0	3
4/20/14	0	3
7/18/15	0.32	3
7/9/14	0.09	3
9/24/13	0	3
1/12/14	T	3
1/26/14	T	3
1/3/16	0	3
2/28/14	0	3
5/23/14	1.07	3
6/9/15	T	3
9/11/13	0	3
11/17/14	1.54	3
2/13/14	1.78	3
2/14/15	0.05	3
6/7/16	T	3
7/9/16	0.53	3
8/1/15	0	3
8/15/16	0	3
9/15/14	0	3
10/28/14	0	3
11/1/15	T	3
12/15/16	T	3
3/18/16	T	3
3/20/14	T	3
8/6/13	0	3
1/29/14	0.05	3
5/13/15	0	3
1/7/14	0	3
10/23/14	0.61	3
2/26/14	0.03	3
3/26/15	0.32	3
5/18/16	T	3
5/5/16	0	3
10/11/13	T	3
10/11/15	0	3
10/26/13	T	3
11/18/15	0	3
11/5/16	0	3
12/7/16	0.09	3
4/27/15	0	3
5/22/16	0.11	3
6/17/15	T	3
9/13/15	0.05	3
9/14/14	0	3
1/8/16	0	3
10/18/16	0	3
12/1/14	0.09	3
2/9/16	T	3
5/24/16	0.34	3
7/13/14	0.24	3
8/21/15	2.48	3
1/6/16	0	3
12/10/15	T	3
3/2/16	0.17	3
8/13/13	0.85	3
8/23/14	T	3
9/23/14	0	3
11/3/15	0	3
12/19/13	0	3
2/16/15	0	3
3/29/14	2.6	3
3/5/16	0	3
4/26/14	0.92	3
5/26/16	0	3
9/27/16	0.22	3
1/24/14	0	3
1/25/14	0.04	3
1/26/16	T	3
10/3/16	T	3
12/3/13	0	3
2/20/14	0.03	3
3/16/15	0	3
4/2/16	0.27	3
4/3/15	0.11	3
5/26/14	0	3
2/11/14	0	3
6/15/14	0	3
8/12/16	0.32	3
8/26/15	0	3
8/6/14	T	3
9/11/15	T	3
1/1/16	0	3
10/18/13	T	3
11/30/15	0	3
12/12/15	T	3
2/2/16	0	3
3/2/15	T	3
3/27/14	0	3
4/6/16	0	3
4/8/15	T	3
5/28/16	T	3
7/6/16	0	3
10/1/15	0.09	3
8/10/14	0	3
12/31/13	T	3
12/4/14	0	3
2/13/16	0	3
3/27/16	T	3
8/17/16	T	3
9/15/15	0	3
12/11/14	T	3
12/25/14	0.09	3
4/27/16	0	3
8/4/15	0.43	3
8/8/15	0	3
11/15/16	1.81	3
11/19/16	0.25	3
11/23/14	0	3
12/24/15	0.02	3
2/27/14	T	3
6/17/16	0	3
7/28/14	0.51	3
9/12/14	0	3
1/14/14	0.55	3
10/1/14	T	3
12/28/13	0	3
4/4/16	0.5	3
7/31/14	0	3
9/8/16	0	3
3/24/14	0	3
6/2/16	0	3
8/31/13	0	3
8/5/16	0	3
10/7/15	0	3
11/10/14	0	3
3/19/14	0.99	3
4/14/14	0	3
5/19/16	T	3
1/14/15	0	3
1/8/14	0	3
10/17/16	T	3
12/14/14	0	3
4/1/15	0	3
4/23/15	T	3
9/4/15	0	3
11/26/16	0	3
2/28/16	0	3
7/7/15	T	3
3/29/16	0	3
5/25/16	0	3
6/3/16	0.04	3
8/23/15	0	3
8/5/15	0	3
9/15/13	0	3
11/7/13	0.13	3
12/28/15	0.05	3
6/11/14	T	3
11/1/13	0.13	3
4/7/14	0.66	3
5/19/14	T	3
7/25/16	2.47	3
9/16/13	0.03	3
1/3/14	0.29	3
10/30/14	0	3
11/23/13	T	3
11/24/14	0.7	3
12/14/16	T	3
12/16/13	0	3
12/27/13	0	3
3/3/15	0.72	3
3/7/14	T	3
9/7/14	T	3
1/23/15	T	3
10/27/15	0	3
12/22/15	0.19	3
12/23/15	1.55	3
8/25/13	0	3
3/14/15	1.11	3
4/12/14	0	3
5/7/16	T	3
6/12/14	0.07	3
8/24/14	0	3
8/30/16	0	3
1/13/16	0	3
12/19/14	0	3
6/25/15	T	3
1/5/16	0	3
10/15/15	0	3
11/27/16	0	3
11/8/14	0	3
2/26/15	T	3
2/8/16	0.16	3
4/15/16	0	3
5/12/16	0	3
6/7/14	0	3
10/28/13	0	3
11/22/15	T	3
12/12/16	0.6	3
5/17/16	T	3
7/16/14	T	3
7/2/16	0	3
8/7/15	0	3
9/22/14	T	3
9/26/14	0	3
1/28/14	T	3
10/23/13	T	3
11/3/14	0	3
12/18/16	0.05	3
3/7/15	0	3
4/3/14	0.08	3
6/19/16	0	3
1/1/15	0	3
11/11/15	0.43	3
11/3/16	T	3
12/17/15	1.21	3
12/18/15	T	3
11/11/13	0	3
11/25/13	0	3
2/16/16	1.01	3
4/4/14	0.21	3
6/8/15	0.06	3
10/26/15	0	3
12/26/16	T	3
4/1/16	0.02	3
6/7/15	0	3
8/19/16	0.02	3
8/5/13	0	3
1/17/15	0	3
1/29/15	0.03	3
12/15/14	0	3
6/25/16	0	3
7/24/14	0	3
8/3/14	0.09	3
1/19/16	0	3
10/21/14	0.11	3
10/23/15	0	3
11/24/15	0	3
12/6/16	0.37	3
3/6/14	0	3
4/10/15	0.24	3
4/4/15	T	3
5/3/15	0	3
7/28/15	0	3
8/17/13	0	3
1/3/15	0.94	3
10/6/14	0	3
12/21/13	T	3
3/23/16	0	3
4/18/14	0	3
4/8/14	0.34	3
8/23/13	0	3
9/29/16	T	3
1/4/14	0	3
11/1/14	1.03	3
11/30/16	0.96	3
3/26/16	0	3
1/11/16	0	3
11/21/14	0	3
11/30/13	0	3
8/26/13	T	3
1/7/16	0	3
10/13/15	T	3
10/9/15	0.89	3
11/12/14	T	3
11/22/13	0.07	3
3/31/14	0.21	3
5/31/16	0	3
6/16/14	0	3
7/10/15	0	3
8/8/14	0	3
10/20/15	0	3
2/6/14	0	3
4/11/15	0	3
5/7/15	0	3
7/8/16	0.08	3
8/16/14	0	3
8/2/16	0	3
11/23/15	0	3
12/9/15	0	3
5/3/16	0.75	3
10/9/14	0	3
12/1/13	T	3
2/15/14	0.13	3
8/4/14	0	3
1/20/15	T	3
12/17/14	0.03	3
6/4/16	0.4	3
9/9/15	T	3
11/3/13	T	3
2/10/14	0	3
4/13/15	0	3
5/6/14	0	3
5/23/16	T	3
11/20/13	0	3
3/14/16	0.47	3
6/24/16	0	3
7/15/15	0.12	3
7/18/16	0.35	3
9/26/15	0	3
10/28/15	1.79	3
11/11/14	0	3
11/29/14	0	3
3/12/15	0	3
3/31/16	T	3
8/15/13	0	3
9/19/13	0	3
10/14/13	0	3
10/23/16	0	3
10/8/14	0.04	3
12/27/15	0.15	3
4/13/14	0	3
6/2/14	0	3
8/19/15	0	3
9/18/15	0	3
1/23/14	0	3
10/10/15	0	3
11/12/15	0.05	3
11/15/14	0	3
4/10/16	0	3
5/13/16	0.25	3
6/14/16	0	3
7/16/16	T	3
7/23/15	0	3
8/31/16	T	3
9/18/16	0	3
1/29/16	T	3
12/5/15	0	3
2/5/14	1.43	3
5/15/15	T	3
5/19/15	T	3
6/20/16	0	3
9/3/16	0	3
10/20/13	0	3
10/22/13	T	3
10/9/16	0.84	3
11/8/15	0	3
11/9/15	0	3
3/11/16	0.06	3
7/1/15	0.39	3
9/16/15	0	3
11/1/16	0	3
2/22/15	0.2	3
8/18/14	0	3
1/7/15	T	3
11/9/16	0.06	3
12/17/13	0.19	3
12/29/16	0.48	3
12/30/13	T	3
2/12/15	T	3
2/12/16	T	3
5/2/16	0.05	3
6/13/14	1.55	3
6/6/15	0.55	3
7/19/15	0	3
8/3/16	0	3
1/2/16	0	3
10/10/16	0	3
11/4/16	0	3
2/10/15	T	3
6/9/14	1.6	3
8/14/14	0	3
8/16/13	0	3
8/28/16	0	3
11/10/13	T	3
9/8/15	0	3
10/17/13	0.02	3
10/31/16	0	3
11/11/16	0	3
11/20/14	0	3
5/21/15	T	3
8/26/14	0	3
8/31/15	0	3
9/14/13	0	3
12/4/15	0	3
4/6/14	0	3
5/27/16	0	3
1/12/16	T	3
1/21/16	0	3
2/18/14	0.16	3
3/22/14	0	3
5/29/14	0	3
6/27/16	0.45	3
8/20/13	0	3
6/11/16	T	3
6/14/14	0	3
6/15/16	0	3
6/22/16	0	3
7/24/15	0	3
9/25/16	0	3
1/4/15	0.47	3
4/25/15	0	3
7/21/15	T	3
9/27/14	0	3
12/13/16	0	3
2/17/15	0.19	3
4/26/15	0	3
5/21/14	T	3
6/8/14	0	3
10/16/13	0	3
10/25/13	0	3
10/4/16	T	3
12/2/15	0.14	3
2/11/16	T	3
2/15/16	0.64	3
2/7/16	0	3
5/27/14	T	3
9/25/13	0	3
1/20/14	T	3
12/31/14	0	3
2/1/15	0.04	3
8/14/13	0	3
8/14/15	0	3
8/19/13	T	3
8/2/14	0.41	3
1/18/16	T	3
11/14/13	0	3
11/21/16	T	3
11/24/13	0	3
2/25/16	0.04	3
3/24/15	0	3
4/8/16	T	3
7/2/15	T	3
8/25/15	T	3
1/24/15	0.75	3
12/20/14	0	3
12/23/13	0.53	3
2/9/15	0.14	3
5/11/16	0	3
6/21/16	T	3
7/31/15	0	3
1/19/15	T	3
10/25/16	T	3
11/19/15	1.25	3
12/28/16	0	3
3/22/16	0	3
4/12/15	0	3
5/10/15	0	3
6/14/15	0.36	3
8/29/15	0	3
8/7/16	0	3
9/1/14	T	3
9/28/13	0	3
9/7/16	T	3
11/9/13	0	3
12/1/15	0.33	3
5/5/14	0	3
7/8/15	T	3
1/22/15	T	3
11/13/15	0	3
11/6/13	0	3
12/7/13	0.17	3
3/26/14	T	3
4/5/15	0	3
7/14/16	0.62	3
7/17/15	0	3
8/18/15	T	3
12/28/14	0.1	3
2/24/16	1.55	3
6/25/14	T	3
8/13/16	0	3
8/28/13	T	3
9/6/16	T	3
3/18/14	0	3
6/28/16	0.33	3
7/7/14	0.04	3
8/6/15	0	3
9/5/14	0	3
1/27/15	0.36	3
10/14/15	0	3
6/27/14	0	3
8/31/14	0.79	3
8/7/13	T	3
9/2/15	0	3
9/4/16	0	3
6/13/16	0	3
7/26/15	T	3
11/5/15	T	3
5/20/15	0	3
10/20/14	0	3
11/22/14	0	3
7/25/14	0	3
12/9/16	0	3
4/14/15	T	3
4/29/15	0	3
10/2/16	T	3
12/13/13	0	3
6/2/15	0.37	3
6/21/15	0.64	3
9/26/13	0	3
10/5/16	0	3
11/18/13	0.23	3
11/8/13	0	3
12/26/13	T	3
4/29/16	0.05	3
8/20/16	0.82	3
8/25/16	0.01	3
10/5/13	0.01	3
4/20/15	1.37	3
6/26/14	0.07	3
7/23/14	0.19	3
7/5/15	0	3
8/24/16	0	3
9/19/16	0.97	3
1/4/16	0	3
11/4/13	0	3
11/7/15	0	3
12/12/13	0	3
