Pickup_dayofweek	pickup_year	pickup_hour	Count
Wednesday	2016	20	131704
Monday	2016	10	87370
Wednesday	2013	17	10240
Wednesday	2014	3	21437
Friday	2014	5	20912
Monday	2013	20	9115
Thursday	2013	5	1696
Wednesday	2015	7	85429
Saturday	2015	13	129458
Wednesday	2013	14	7823
Monday	2015	20	127140
Tuesday	2013	6	2630
Tuesday	2013	10	7467
Thursday	2013	23	7367
Sunday	2014	16	123102
Tuesday	2015	16	130455
Saturday	2013	4	5229
Tuesday	2013	13	7734
Thursday	2013	9	7287
Sunday	2014	11	77572
Wednesday	2014	20	137182
Friday	2016	20	175572
Monday	2016	13	82254
Monday	2016	18	136800
Thursday	2016	20	144488
Thursday	2013	19	11596
Tuesday	2014	10	86534
Thursday	2014	23	116783
Friday	2014	9	99591
Tuesday	2014	3	17122
Monday	2013	15	9080
Saturday	2013	14	8479
Monday	2013	11	6931
Wednesday	2016	22	111892
Monday	2016	11	81545
Thursday	2016	14	106263
Tuesday	2013	5	1826
Saturday	2013	18	12281
Thursday	2014	20	141737
Friday	2014	13	85031
Saturday	2013	19	12417
Thursday	2013	2	2470
Tuesday	2014	23	83779
Friday	2014	21	175494
Friday	2016	16	146436
Wednesday	2015	18	174712
Friday	2013	17	12679
Saturday	2015	12	123411
Friday	2014	3	31825
Sunday	2016	4	84926
Wednesday	2015	19	173377
Sunday	2014	2	145044
Wednesday	2013	21	8224
Monday	2015	6	39865
Wednesday	2013	8	6984
Friday	2013	5	1889
Monday	2015	9	118810
Thursday	2015	18	191381
Tuesday	2013	20	11808
Wednesday	2013	5	1885
Saturday	2016	6	32347
Tuesday	2016	4	15493
Thursday	2013	16	10497
Sunday	2013	18	9454
Wednesday	2014	9	102028
Tuesday	2015	22	119759
Wednesday	2015	6	38238
Saturday	2016	19	184702
Saturday	2015	4	90874
Thursday	2014	2	32556
Thursday	2016	3	20944
Thursday	2015	5	25728
Wednesday	2015	16	140257
Sunday	2014	7	29034
Monday	2014	13	77423
Sunday	2016	19	130896
Tuesday	2013	2	2215
Wednesday	2016	5	16895
Wednesday	2016	14	101496
Thursday	2015	13	107068
Friday	2015	20	209246
Monday	2016	23	73603
Tuesday	2013	1	3145
Sunday	2013	23	5647
Thursday	2014	1	50591
Friday	2014	7	65010
Wednesday	2015	8	129548
Thursday	2014	12	85184
Monday	2016	0	68516
Monday	2016	1	45269
Wednesday	2013	23	6519
Saturday	2014	2	128645
Saturday	2014	4	79164
Thursday	2016	11	90342
Wednesday	2016	8	113445
Wednesday	2013	9	7042
Monday	2015	0	86861
Wednesday	2015	14	115762
Wednesday	2013	3	2045
Saturday	2013	6	2456
Monday	2014	6	30637
Tuesday	2014	1	37013
Wednesday	2016	23	97540
Friday	2015	5	25849
Friday	2013	22	11884
Saturday	2016	14	126793
Thursday	2014	16	122623
Friday	2013	3	2631
Monday	2015	3	28671
Monday	2014	12	75989
Saturday	2013	12	7061
Sunday	2013	1	10899
Sunday	2015	6	36294
Monday	2015	5	25122
Friday	2014	4	27492
Sunday	2014	18	132636
Monday	2016	4	23474
Thursday	2015	14	122452
Tuesday	2015	6	37002
Wednesday	2016	6	34075
Saturday	2016	11	103362
Saturday	2016	17	158607
Monday	2016	19	128108
Monday	2013	8	7612
Friday	2014	11	86447
Sunday	2014	8	35823
Tuesday	2013	23	8295
Tuesday	2014	9	98470
Friday	2014	18	178098
Saturday	2014	8	51416
Friday	2014	22	179599
Saturday	2016	1	148064
Monday	2016	16	112903
Wednesday	2013	13	6885
Tuesday	2013	17	12571
Sunday	2015	11	102873
Monday	2014	19	120857
Wednesday	2014	16	121838
Monday	2016	3	22190
Saturday	2016	4	72818
Wednesday	2014	5	18004
Tuesday	2015	17	147462
Thursday	2013	3	2029
Tuesday	2016	16	116624
Wednesday	2014	13	88181
Friday	2014	2	45660
Thursday	2015	3	33869
Saturday	2013	23	11710
Wednesday	2014	15	111348
Monday	2016	14	93768
Tuesday	2013	21	11074
Friday	2013	0	6131
Friday	2016	12	90536
Friday	2015	2	57120
Sunday	2014	17	126938
