Pickup_date	pickup_hour	Count
2014-02-10	10	16422
2014-02-04	16	18630
2014-02-07	22	32964
2014-02-23	21	8767
2014-02-10	2	2277
2014-02-12	15	16410
2014-02-02	3	19973
2014-02-11	22	23223
2014-02-02	1	28871
2014-02-27	19	8687
2014-02-06	22	30012
2014-02-06	0	13077
2014-02-04	5	4629
2014-02-10	23	13174
2014-02-18	23	5
2014-02-16	22	11238
2014-02-15	1	12302
2014-02-16	20	11734
2014-02-05	3	2694
2014-02-04	14	23261
2014-02-12	2	3550
2014-02-20	16	5
2014-02-06	16	16731
2014-02-04	15	22682
2014-02-19	21	14569
2014-02-05	6	9213
2014-02-03	6	12002
2014-02-22	20	10
2014-02-14	19	17902
2014-02-26	14	6529
2014-02-08	2	20903
2014-02-10	0	6831
2014-02-12	18	24139
2014-02-16	16	11236
2014-02-04	1	5010
2014-02-17	16	10724
2014-02-07	4	4555
2014-02-04	0	8327
2014-02-26	9	6608
2014-02-22	22	6
2014-02-09	0	31912
2014-02-09	7	5579
2014-02-27	22	8001
2014-02-28	9	6875
2014-02-25	1	1798
2014-02-04	21	29133
2014-02-23	20	9833
2014-02-14	17	12605
2014-02-13	14	9464
2014-02-07	20	32668
2014-02-02	14	21783
2014-02-27	14	19720
2014-02-17	7	4212
2014-02-25	6	3708
2014-02-11	12	19308
2014-02-14	22	16070
2014-02-27	1	6322
2014-02-19	13	10415
2014-02-25	3	850
2014-02-19	8	12816
2014-02-28	16	5550
2014-02-18	10	10704
2014-02-21	10	245
2014-02-02	17	28303
2014-02-27	11	18069
2014-02-25	18	8022
2014-02-16	10	8621
2014-02-02	15	20451
2014-02-04	18	30660
2014-02-23	9	6557
2014-02-03	2	5958
2014-02-05	8	20626
2014-02-10	7	16784
2014-02-25	16	5478
2014-02-20	14	17
2014-02-03	11	17875
2014-02-10	11	15578
2014-02-15	3	7480
2014-02-28	1	3541
2014-02-13	17	10123
2014-02-14	10	11099
2014-02-23	22	7484
2014-02-01	6	5420
2014-02-01	15	24944
2014-02-02	21	21699
2014-02-13	22	11160
2014-02-11	15	18486
2014-02-17	19	13234
2014-02-19	16	8546
2014-02-01	4	12156
2014-02-01	12	25274
2014-02-27	8	21023
2014-02-05	12	19680
2014-02-05	2	4349
2014-02-24	17	6731
2014-02-25	23	5064
2014-02-23	16	10404
2014-02-22	13	1
2014-02-09	12	25602
2014-02-17	10	9014
2014-02-24	16	5747
2014-02-26	8	6940
2014-02-06	12	23319
2014-02-07	19	33526
2014-02-14	18	16143
2014-02-03	4	4231
2014-02-26	20	10799
2014-02-04	10	22807
2014-02-23	10	9035
2014-02-18	0	4609
2014-02-24	11	6045
2014-02-06	19	31680
2014-02-03	23	13958
2014-02-03	7	19705
2014-02-06	14	23884
2014-02-07	8	26908
2014-02-12	4	2197
2014-02-19	6	5552
2014-02-24	1	1728
2014-02-28	4	1508
2014-02-17	14	10883
2014-02-22	10	3
2014-02-07	7	23339
2014-02-13	7	8927
2014-02-05	9	21467
2014-02-16	14	11749
2014-02-14	23	16158
2014-02-23	17	11353
2014-02-26	2	1388
2014-02-27	7	18184
2014-02-02	20	17412
2014-02-04	9	25778
2014-02-01	22	30369
2014-02-27	4	2482
2014-02-03	13	17311
2014-02-06	1	7579
2014-02-14	15	10958
2014-02-08	3	15735
2014-02-09	9	13661
2014-02-16	19	13133
2014-02-24	14	6835
2014-02-10	8	20027
2014-02-05	19	29999
2014-02-22	6	3
2014-02-18	3	935
2014-02-19	2	6
2014-02-03	8	21405
2014-02-09	6	4754
2014-02-11	11	19595
2014-02-14	3	1707
2014-02-11	7	19260
2014-02-26	13	6223
2014-02-16	3	8419
2014-02-19	15	9562
2014-02-24	22	6114
2014-02-01	2	23597
2014-02-05	4	1984
2014-02-27	13	18511
2014-02-28	3	1706
2014-02-17	23	7705
2014-02-17	5	1747
2014-02-08	0	30316
2014-02-12	10	18800
2014-02-21	8	7750
2014-02-10	22	18700
2014-02-22	19	6
2014-02-26	7	6444
2014-02-26	0	3293
2014-02-28	11	7172
2014-02-26	17	6659
2014-02-12	22	24082
2014-02-20	3	30
2014-02-09	8	8924
2014-02-18	7	9544
2014-02-19	0	2
2014-02-28	20	8930
2014-02-25	20	7699
2014-02-16	18	13780
2014-02-17	9	8243
2014-02-13	0	12165
2014-02-27	15	18690
2014-02-25	13	6390
2014-02-24	0	2648
2014-02-11	8	22721
2014-02-12	0	10851
2014-02-03	17	19395
2014-02-05	14	20069
2014-02-07	2	8125
2014-02-07	6	12697
2014-02-08	21	30015
2014-02-14	2	2527
2014-02-03	12	17938
2014-02-02	18	26769
2014-02-10	14	17090
2014-02-12	6	10344
2014-02-01	20	29071
2014-02-17	0	7617
2014-02-07	1	12480
2014-02-02	8	9609
2014-02-14	8	11607
2014-02-14	0	6985
2014-02-04	19	31186
2014-02-03	9	20800
2014-02-04	12	21835
2014-02-17	11	9941
2014-02-16	8	3916
2014-02-01	21	29370
2014-02-01	14	25077
2014-02-06	20	31172
2014-02-10	18	24239
2014-02-28	15	7017
2014-02-09	20	19518
2014-02-06	5	4742
2014-02-02	16	21459
2014-02-12	17	18082
2014-02-10	4	1783
2014-02-09	17	24448
2014-02-17	15	10885
2014-02-28	22	8730
2014-02-26	15	6635
2014-02-06	8	26573
2014-02-10	5	3525
2014-02-27	18	9494
2014-02-18	15	10441
2014-02-14	9	12296
2014-02-01	13	25504
2014-02-24	12	6024
2014-02-12	1	5890
2014-02-19	11	12308
2014-02-18	11	10066
2014-02-24	15	6919
2014-02-18	14	10175
2014-02-15	14	11633
2014-02-11	9	22432
2014-02-12	21	25001
2014-02-18	21	5
2014-02-20	4	133
2014-02-11	20	26816
2014-02-15	11	11988
2014-02-09	13	26185
2014-02-06	23	26240
2014-02-28	7	6562
2014-02-02	4	13290
2014-02-04	4	2656
2014-02-09	19	23439
2014-02-27	21	8399
2014-02-27	6	10085
2014-02-25	14	6937
2014-02-23	11	10721
2014-02-08	7	7609
2014-02-19	23	10338
2014-02-15	15	11662
