"","x"
"1",-0.0811578215902413
"2",0.00424940030046178
"3",-0.0103258005185649
"4",-0.0087258758794028
"5",0.0971353933131332
"6",-0.139259730021304
"7",-0.0381694163563568
"8",-0.0825091108717946
"9",-0.0514960339311301
"10",0.00512741648498304
