Pickup_date	Count
2015-03-19	52935
2015-05-21	54937
2016-01-05	42342
2016-01-06	42025
2013-10-23	6620
2015-11-08	55621
2015-06-01	51549
2014-04-25	50083
2014-06-05	43049
2015-03-13	64178
2016-06-27	39832
2013-08-17	220
2014-09-23	38541
2015-11-28	49869
2014-06-26	43800
2015-04-11	72944
2015-10-28	51067
2016-04-29	55564
2016-08-10	38044
2014-09-06	59539
2015-09-16	46824
2014-01-28	27263
2015-10-08	49428
2015-01-11	50359
2016-10-30	47707
2014-02-21	40207
2015-08-08	64827
2015-04-15	48469
2014-09-02	37020
2014-03-18	34357
2016-05-05	50559
2016-01-20	43734
2014-04-16	38384
2015-04-27	44694
2016-10-06	38825
2016-04-19	41894
2016-09-12	26304
2013-11-05	8997
2015-10-11	54782
2013-08-11	40
2013-08-30	808
2015-04-16	53163
2016-02-11	56100
2014-10-12	53193
2016-02-09	41629
2014-02-19	31804
2015-08-19	43603
2015-11-07	66459
2015-10-25	55317
2016-04-14	48868
2015-11-25	51013
2014-01-18	34987
2014-01-29	29285
2014-03-17	35062
2015-09-19	68348
2016-01-29	57370
2015-06-26	58371
2015-07-12	55678
2014-03-13	43134
2015-07-11	65403
2016-01-26	44321
2014-10-28	39100
2015-10-12	36379
2013-12-31	30464
2014-06-14	58733
2016-11-15	35589
2016-08-13	55274
2014-10-15	44355
2014-03-04	34851
2016-12-03	50209
2016-09-18	41573
2016-02-15	44269
2015-01-10	64340
2014-09-20	60289
2014-12-12	64914
2015-11-22	56226
2016-07-13	38870
2014-11-16	55641
2014-11-28	47270
2015-12-01	47290
2015-01-22	46260
2016-09-08	38237
2016-03-20	55616
2015-10-18	58732
2016-10-21	46276
2014-12-20	74101
2015-07-29	45820
2015-03-15	60306
2013-12-08	17096
2015-12-08	44300
2013-11-07	11197
2016-05-08	57984
2014-03-08	51668
2015-04-14	44103
2014-08-15	47700
2014-08-17	47235
2016-09-01	37645
2015-03-18	51635
2015-01-29	47965
2016-03-16	46890
2016-02-25	51493
2016-04-08	58818
2016-12-25	26502
2014-05-28	39323
2015-04-29	49132
2016-11-21	35840
2016-12-31	46645
2014-10-08	41535
2015-01-08	47791
2016-09-25	40956
2015-01-26	29869
2015-06-06	73271
2015-12-12	68101
2014-11-13	52212
2013-08-13	160
2016-03-19	64359
2014-04-27	48392
2015-08-06	46777
2014-01-10	27553
2015-03-01	53354
2015-08-31	40266
2014-11-03	40182
2014-09-28	51884
2014-03-29	56905
2016-08-30	30338
2014-06-30	35014
2016-10-29	52386
2015-07-10	54007
2016-11-06	40691
2016-08-07	44964
2014-05-02	54523
2016-04-02	66097
2016-10-26	37347
2016-09-02	40663
2015-01-17	64628
2016-03-31	48152
2014-12-16	47794
2013-09-05	814
2013-08-10	59
2013-11-09	12373
2016-02-18	50612
2015-12-02	47061
2013-12-30	20268
2015-07-18	63367
2016-07-10	44746
2016-07-16	56296
2015-12-26	39455
2015-12-27	39514
2015-04-20	46724
2015-10-20	43180
2014-07-21	33091
2013-09-16	1360
2016-12-30	39398
2015-05-09	73424
2014-05-29	42221
2013-12-25	17176
2015-01-15	47962
2015-07-15	44259
2015-12-15	46266
2016-05-12	48427
2016-12-17	48264
2013-08-12	130
2015-01-25	52950
2016-07-24	46205
2015-05-29	61282
2015-12-04	59348
2013-09-08	971
2014-11-21	60807
2013-11-11	9020
2013-11-22	15689
2015-12-23	52780
2015-11-26	49041
2015-11-04	43999
2013-11-02	11548
2014-05-30	51106
2014-05-31	59926
2015-02-11	49009
2014-01-15	23993
2016-02-28	53739
2016-12-02	45576
2015-12-07	42302
2016-01-24	22010
2014-01-26	29431
2016-08-27	47699
2014-12-04	50680
2014-10-17	55980
2014-03-07	47370
2015-01-14	44394
2014-07-10	39110
2016-10-09	42916
2014-07-26	53060
2016-08-18	39257
2015-12-10	50709
2016-05-01	51976
2013-08-02	13
2013-12-01	14125
2013-12-23	20006
2014-12-21	59488
2015-05-11	46426
2016-12-18	42249
2016-11-07	32507
2014-04-11	48702
2015-10-07	44441
2016-02-12	61363
2013-08-27	432
2015-03-05	42207
2016-04-20	45197
2014-08-09	55995
2015-02-28	75839
2016-09-16	43180
2015-03-28	76226
2016-11-04	45295
2013-09-01	758
2014-11-30	45951
2015-07-30	49235
2014-02-22	48519
2013-10-14	3460
2013-10-27	7598
2014-10-21	39669
2016-12-29	31432
2014-09-05	50318
2015-07-13	39975
2015-04-23	55777
2014-07-20	45403
2014-10-20	38179
2013-11-20	13349
2014-12-11	55648
2015-08-30	53489
2015-05-05	47745
2015-10-14	44886
